index,timestamp,power.draw [W],utilization.gpu [%],utilization.memory [%],memory.total [MiB],memory.used [MiB],memory.free [MiB]
4,2023/10/18 17:40:53.537,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:53.549,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.556,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:53.570,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:53.678,65.13,0,0,81920,7,81042
1,2023/10/18 17:40:53.687,62.24,0,0,81920,5,81045
2,2023/10/18 17:40:53.697,62.51,0,0,81920,4,81046
3,2023/10/18 17:40:53.712,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:53.718,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:53.733,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.748,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:53.755,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:53.861,65.13,0,0,81920,7,81042
1,2023/10/18 17:40:53.874,62.51,0,0,81920,7,81042
2,2023/10/18 17:40:53.880,62.85,0,0,81920,4,81046
3,2023/10/18 17:40:53.886,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:53.892,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:53.906,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:53.918,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:53.926,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:54.040,65.13,0,0,81920,7,81042
1,2023/10/18 17:40:54.066,62.51,0,0,81920,7,81042
2,2023/10/18 17:40:54.074,62.85,0,0,81920,4,81045
3,2023/10/18 17:40:54.082,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:54.088,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:54.102,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:54.115,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:54.121,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:54.227,65.46,0,0,81920,7,81042
1,2023/10/18 17:40:54.246,62.24,0,0,81920,7,81042
2,2023/10/18 17:40:54.252,62.51,0,0,81920,5,81045
3,2023/10/18 17:40:54.260,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:54.277,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:54.287,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:54.300,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:54.310,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:54.417,65.46,0,0,81920,7,81042
1,2023/10/18 17:40:54.432,62.51,0,0,81920,7,81042
2,2023/10/18 17:40:54.438,62.85,0,0,81920,5,81045
3,2023/10/18 17:40:54.454,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:54.469,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:54.475,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:54.481,64.00,0,0,81920,4,81046
7,2023/10/18 17:40:54.490,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:54.595,65.46,0,0,81920,7,81042
1,2023/10/18 17:40:54.633,62.51,0,0,81920,7,81042
2,2023/10/18 17:40:54.639,62.85,0,0,81920,7,81042
3,2023/10/18 17:40:54.644,60.56,0,0,81920,4,81046
4,2023/10/18 17:40:54.655,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:54.678,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:54.686,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:54.691,61.76,0,0,81920,4,81046
0,2023/10/18 17:40:54.800,65.46,0,0,81920,7,81042
1,2023/10/18 17:40:54.820,62.24,0,0,81920,7,81042
2,2023/10/18 17:40:54.832,62.51,0,0,81920,7,81042
3,2023/10/18 17:40:54.843,60.56,0,0,81920,4,81045
4,2023/10/18 17:40:54.851,63.52,0,0,81920,4,81046
5,2023/10/18 17:40:54.864,63.37,0,0,81920,4,81046
6,2023/10/18 17:40:54.873,64.33,0,0,81920,4,81046
7,2023/10/18 17:40:54.898,62.04,0,0,81920,4,81046
0,2023/10/18 17:40:55.004,65.46,0,0,81920,7,81042
1,2023/10/18 17:40:55.015,62.24,0,0,81920,7,81042
2,2023/10/18 17:40:55.024,62.85,0,0,81920,7,81042
3,2023/10/18 17:40:55.030,60.88,0,0,81920,4,81045
4,2023/10/18 17:40:55.036,63.45,0,0,81920,4,81046
5,2023/10/18 17:40:55.041,63.37,0,0,81920,4,81046
